Category,x
HP:0001871,1391
HP:0001872,430
HP:0001873,369
HP:0001874,284
HP:0001875,185
HP:0001876,127
HP:0001877,638
HP:0001878,140
HP:0001879,62
HP:0001880,53
HP:0001881,600
HP:0001882,121
HP:0001883,416
HP:0001884,13
HP:0001885,3
HP:0001886,3
HP:0001888,164
HP:0001889,18
HP:0001890,40
HP:0001891,33
HP:0001892,501
HP:0001894,57
HP:0001895,32
HP:0001896,33
HP:0001897,15
HP:0001898,4
HP:0001899,11
HP:0001900,10
HP:0001901,25
HP:0001902,7
HP:0001903,579
HP:0001904,24
HP:0001905,6
HP:0001907,33
HP:0001908,6
HP:0001909,160
HP:0001911,323
HP:0001912,7
HP:0001913,7
HP:0001915,26
HP:0001917,7
HP:0001919,34
HP:0001920,25
HP:0001922,9
HP:0001923,49
HP:0001924,34
HP:0001927,15
HP:0001928,201
HP:0001929,13
HP:0001930,9
HP:0001931,57
HP:0001933,235
HP:0001934,14
HP:0001935,45
HP:0001937,13
HP:0001939,2409
HP:0001941,355
HP:0001942,163
HP:0001943,245
HP:0001944,107
HP:0001945,362
HP:0001946,58
HP:0001947,49
HP:0001948,30
HP:0001949,12
HP:0001950,6
HP:0001951,4
HP:0001952,435
HP:0001953,9
HP:0001954,80
HP:0001955,20
HP:0001956,59
HP:0001958,13
HP:0001959,47
HP:0001960,9
HP:0001961,44
HP:0001962,86
HP:0001963,4
HP:0001964,66
HP:0001965,410
HP:0001966,49
HP:0001967,43
HP:0001969,58
HP:0001970,24
HP:0001971,24
HP:0001972,67
HP:0001973,48
HP:0001974,142
HP:0001975,2
HP:0001976,14
HP:0001977,132
HP:0001978,19
HP:0001980,3
HP:0001981,15
HP:0001982,5
HP:0001983,1
HP:0001984,2
HP:0001985,17
HP:0001986,5
HP:0001987,62
HP:0001988,21
HP:0001989,31
HP:0001991,123
HP:0001992,88
HP:0001993,32
HP:0001994,11
HP:0001995,13
HP:0001996,1
HP:0001997,17
HP:0001998,51
HP:0001999,1052
HP:0002000,25
HP:0002002,65
HP:0002003,27
HP:0002006,16
HP:0002007,382
HP:0002009,14
HP:0002010,2
HP:0002011,2684
HP:0002012,1264
HP:0002013,318
HP:0002014,367
HP:0002015,477
HP:0002017,510
HP:0002018,90
HP:0002019,410
HP:0002020,480
HP:0002021,102
HP:0002023,132
HP:0002024,219
HP:0002025,32
HP:0002027,335
HP:0002028,87
HP:0002031,220
HP:0002032,31
HP:0002033,132
HP:0002034,133
HP:0002035,52
HP:0002036,37
HP:0002037,83
HP:0002038,5
HP:0002039,97
HP:0002040,37
HP:0002041,6
HP:0002043,15
HP:0002044,9
HP:0002045,39
HP:0002046,21
HP:0002047,26
HP:0002048,1
HP:0002049,11
HP:0002050,2
HP:0002055,1
HP:0002056,23
HP:0002057,21
HP:0002058,47
HP:0002059,618
HP:0002060,1910
HP:0002061,229
HP:0002062,73
HP:0002063,204
HP:0002064,75
HP:0002066,231
HP:0002067,108
HP:0002068,11
HP:0002069,312
HP:0002070,83
HP:0002071,278
HP:0002072,207
HP:0002073,90
HP:0002074,10
HP:0002075,51
HP:0002076,108
HP:0002077,10
HP:0002078,65
HP:0002079,426
HP:0002080,98
HP:0002083,4
HP:0002084,115
HP:0002085,38
HP:0002086,1981
HP:0002087,470
HP:0002088,1131
HP:0002089,129
HP:0002090,286
HP:0002091,92
HP:0002092,134
HP:0002093,589
HP:0002094,404
HP:0002097,66
HP:0002098,196
HP:0002099,128
HP:0002100,28
HP:0002101,43
HP:0002102,27
HP:0002103,173
HP:0002104,339
HP:0002105,81
HP:0002107,70
HP:0002108,10
HP:0002110,153
HP:0002113,56
HP:0002118,873
HP:0002119,688
HP:0002120,294
HP:0002121,146
HP:0002123,122
HP:0002126,180
HP:0002127,15
HP:0002131,29
HP:0002132,27
